"id_mesa","id_establecimiento","descripcion","sexo","ciudadanos_habilitados","tipo","extranjera"
1,4367,1,,350,"Electronica","NO"
2,4369,2,,349,"Electronica","NO"
3,5043,3,,350,"Electronica","NO"
4,9009,4,,350,"Electronica","NO"
5,5113,5,,351,"Electronica","NO"
6,7749,6,,351,"Electronica","NO"
7,9012,7,,350,"Electronica","NO"
8,8391,8,,350,"Electronica","NO"
9,8066,9,,350,"Electronica","NO"
10,4636,10,,350,"Electronica","NO"
11,4639,11,,350,"Electronica","NO"
12,4593,12,,350,"Electronica","NO"
13,4596,13,,350,"Electronica","NO"
14,5335,14,,350,"Electronica","NO"
15,5210,15,,350,"Electronica","NO"
16,9015,16,,350,"Electronica","NO"
17,9377,17,,350,"Electronica","NO"
18,4631,18,,350,"Electronica","NO"
19,4641,19,,350,"Electronica","NO"
20,9023,20,,350,"Electronica","NO"
21,4407,21,,350,"Electronica","NO"
22,4409,22,,350,"Electronica","NO"
23,4410,23,,350,"Electronica","NO"
24,4412,24,,350,"Electronica","NO"
25,5330,25,,350,"Electronica","NO"
26,9026,26,,350,"Electronica","NO"
27,4404,27,,350,"Electronica","NO"
28,8691,28,,350,"Electronica","NO"
29,9029,29,,350,"Electronica","NO"
30,9032,30,,350,"Electronica","NO"
31,4395,31,,350,"Electronica","NO"
32,9035,32,,350,"Electronica","NO"
33,9037,33,,350,"Electronica","NO"
34,9040,34,,350,"Electronica","NO"
35,4350,35,,350,"Electronica","NO"
36,5328,36,,350,"Electronica","NO"
37,9043,37,,350,"Electronica","NO"
38,9046,38,,350,"Electronica","NO"
39,9049,39,,350,"Electronica","NO"
40,5118,40,,350,"Electronica","NO"
41,8716,41,,350,"Electronica","NO"
42,4363,42,,350,"Electronica","NO"
43,5116,43,,350,"Electronica","NO"
44,9052,44,,350,"Electronica","NO"
45,4137,45,,350,"Electronica","NO"
46,6223,46,,350,"Electronica","NO"
47,8073,47,,350,"Electronica","NO"
48,9055,48,,350,"Electronica","NO"
49,4394,49,,350,"Electronica","NO"
50,7755,50,,350,"Electronica","NO"
51,8700,51,,350,"Electronica","NO"
52,9058,52,,350,"Electronica","NO"
53,4388,53,,350,"Electronica","NO"
54,5109,54,,350,"Electronica","NO"
55,9061,55,,350,"Electronica","NO"
56,4081,56,,350,"Electronica","NO"
57,4083,57,,350,"Electronica","NO"
58,4085,58,,350,"Electronica","NO"
59,9064,59,,350,"Electronica","NO"
60,9067,60,,350,"Electronica","NO"
61,4591,61,,350,"Electronica","NO"
62,4663,62,,350,"Electronica","NO"
63,4666,63,,350,"Electronica","NO"
64,4676,64,,350,"Electronica","NO"
65,9227,65,,350,"Electronica","NO"
66,4570,66,,350,"Electronica","NO"
67,8075,67,,350,"Electronica","NO"
68,8810,68,,350,"Electronica","NO"
69,9099,69,,350,"Electronica","NO"
70,9102,70,,350,"Electronica","NO"
71,9105,71,,350,"Electronica","NO"
72,4600,72,,350,"Electronica","NO"
73,4621,73,,350,"Electronica","NO"
74,8818,74,,350,"Electronica","NO"
75,9108,75,,350,"Electronica","NO"
76,9111,76,,350,"Electronica","NO"
77,4594,77,,350,"Electronica","NO"
78,4602,78,,350,"Electronica","NO"
79,9114,79,,350,"Electronica","NO"
80,9116,80,,350,"Electronica","NO"
81,4653,81,,350,"Electronica","NO"
82,9119,82,,350,"Electronica","NO"
83,9122,83,,350,"Electronica","NO"
84,4604,84,,350,"Electronica","NO"
