id_modulo,permiso
dashboard,*
dashboard,consulta.*
dashboard,terminales.*
dashboard,terminales.fax.*
dashboard,terminales.fax.consultar
dashboard,terminales.fax.eliminar
dashboard,terminales.fax.reingresar
dashboard,terminales.planilla.*
dashboard,terminales.planilla.desbloquear
dashboard,terminales.usuarios.*
dashboard,terminales.usuarios.desloguear
dashboard,terminales.fax.recibidos
dashboard,terminales.fax.consistencia
dashboard,terminales.fax.desbloquear
dashboard,operaciones.*
dashboard,operaciones.mesas.*
dashboard,operaciones.mesas.trasnmitieron
dashboard,permisos.*
dashboard,planillas.*
dashboard,planillas.wildcard
dashboard,carga_habilitada.*
dashboard,carga_habilitada.ver
dashboard,carga_habilitada.modificar
consulta,*
consulta,planillas.*
consulta,planillas.desktop
consulta,planillas.sms
consulta,planillas.electronica
consulta,planillas.historial
entrada,*
entrada,planilla.*
entrada,planilla.rechazar
entrada,planilla.aceptar
entrada,planilla.valida
entrada,fax.*
entrada,fax.liberar
entrada,fax.imagen
entrada,fax.nuevo
carga,*
carga,cargos
carga,imagen
carga,listas
carga,planilla.*
carga,planilla.a_verificacion
carga,planilla.aceptar
carga,planilla.datos
carga,planilla.obtener
carga,planilla.lockear
verificacion,*
verificacion,imagen
verificacion,impresion
verificacion,mensaje_error
verificacion,planilla.*
verificacion,planilla.aceptar
verificacion,planilla.buscar
verificacion,planilla.datos
verificacion,planilla.descartar
transmision,*
transmision,admin
transmision,carga
sms,*
