"id_provincia","id_departamento","id_localidad","id_establecimiento","certificado","promiscuo","tel_fijo","direccion"
"CABA",,,,"CABA","NO",,
,,,4367,1,"NO",,
,,,4369,2,"NO",,
,,,5043,3,"NO",,
,,,9009,4,"NO",,
,,,5113,5,"NO",,
,,,7749,6,"NO",,
,,,9012,7,"NO",,
,,,8391,8,"NO",,
,,,8066,9,"NO",,
,,,4636,10,"NO",,
,,,4639,11,"NO",,
,,,4593,12,"NO",,
,,,4596,13,"NO",,
,,,5335,14,"NO",,
,,,5210,15,"NO",,
,,,9015,16,"NO",,
,,,9377,17,"NO",,
,,,4631,18,"NO",,
,,,4641,19,"NO",,
,,,9023,20,"NO",,
,,,4407,21,"NO",,
,,,4409,22,"NO",,
,,,4410,23,"NO",,
,,,4412,24,"NO",,
,,,5330,25,"NO",,
,,,9026,26,"NO",,
,,,4404,27,"NO",,
,,,8691,28,"NO",,
,,,9029,29,"NO",,
,,,9032,30,"NO",,
,,,4395,31,"NO",,
,,,9035,32,"NO",,
,,,9037,33,"NO",,
,,,9040,34,"NO",,
,,,4350,35,"NO",,
,,,5328,36,"NO",,
,,,9043,37,"NO",,
,,,9046,38,"NO",,
,,,9049,39,"NO",,
,,,5118,40,"NO",,
,,,8716,41,"NO",,
,,,4363,42,"NO",,
,,,5116,43,"NO",,
,,,9052,44,"NO",,
,,,4137,45,"NO",,
,,,6223,46,"NO",,
,,,8073,47,"NO",,
,,,9055,48,"NO",,
,,,4394,49,"NO",,
,,,7755,50,"NO",,
,,,8700,51,"NO",,
,,,9058,52,"NO",,
,,,4388,53,"NO",,
,,,5109,54,"NO",,
,,,9061,55,"NO",,
,,,4081,56,"NO",,
,,,4083,57,"NO",,
,,,4085,58,"NO",,
,,,9064,59,"NO",,
,,,9067,60,"NO",,
,,,4591,61,"NO",,
,,,4663,62,"NO",,
,,,4666,63,"NO",,
,,,4676,64,"NO",,
,,,9227,65,"NO",,
,,,4570,66,"NO",,
,,,8075,67,"NO",,
,,,8810,68,"NO",,
,,,9099,69,"NO",,
,,,9102,70,"NO",,
,,,9105,71,"NO",,
,,,4600,72,"NO",,
,,,4621,73,"NO",,
,,,8818,74,"NO",,
,,,9108,75,"NO",,
,,,9111,76,"NO",,
,,,4594,77,"NO",,
,,,4602,78,"NO",,
,,,9114,79,"NO",,
,,,9116,80,"NO",,
,,,4653,81,"NO",,
,,,9119,82,"NO",,
,,,9122,83,"NO",,
,,,4604,84,"NO",,
,,,4606,85,"NO",,
,,,4612,86,"NO",,
,,,5209,87,"NO",,
,,,9125,88,"NO",,
,,,4616,89,"NO",,
,,,9129,90,"NO",,
,,,9132,91,"NO",,
,,,4555,92,"NO",,
,,,8841,93,"NO",,
,,,8844,94,"NO",,
,,,9135,95,"NO",,
,,,4545,96,"NO",,
,,,9138,97,"NO",,
,,,9141,98,"NO",,
,,,4307,99,"NO",,
,,,4311,100,"NO",,
,,,4315,101,"NO",,
,,,9311,102,"NO",,
,,,4338,103,"NO",,
,,,4345,104,"NO",,
,,,9285,105,"NO",,
,,,4318,106,"NO",,
,,,4320,107,"NO",,
,,,5107,108,"NO",,
,,,8735,109,"NO",,
,,,9372,110,"NO",,
,,,4295,111,"NO",,
,,,4298,112,"NO",,
,,,5096,113,"NO",,
,,,4327,114,"NO",,
,,,4329,115,"NO",,
,,,4335,116,"NO",,
,,,8743,117,"NO",,
,,,4286,118,"NO",,
,,,5095,119,"NO",,
,,,5324,120,"NO",,
,,,4264,121,"NO",,
,,,4271,122,"NO",,
,,,4310,123,"NO",,
,,,4314,124,"NO",,
,,,4324,125,"NO",,
,,,5099,126,"NO",,
,,,8750,127,"NO",,
,,,4319,128,"NO",,
,,,4322,129,"NO",,
,,,8740,130,"NO",,
,,,8746,131,"NO",,
,,,4312,132,"NO",,
,,,4317,133,"NO",,
