id_usuario,aplicacion,permiso
echan,dashboard,*
mfernandez,dashboard,*
sangelini,dashboard,*
cdenega,dashboard,*
jgarcia,dashboard,*
flerena,dashboard,*
aalberto,dashboard,*
projas,dashboard,*
fmariluis,dashboard,*
fmincucci,dashboard,*
nillia,dashboard,*
alvarez,dashboard,*
mcao,dashboard,*
echan,consulta,*
mfernandez,consulta,*
sangelini,consulta,*
cdenega,consulta,*
jgarcia,consulta,*
flerena,consulta,*
aalberto,consulta,*
projas,consulta,*
fmariluis,consulta,*
fmincucci,consulta,*
nillia,consulta,*
alvarez,consulta,*
mcao,consulta,*
echan,entrada,*
mfernandez,entrada,*
sangelini,entrada,*
cdenega,entrada,*
jgarcia,entrada,*
flerena,entrada,*
aalberto,entrada,*
projas,entrada,*
fmariluis,entrada,*
fmincucci,entrada,*
nillia,entrada,*
alvarez,entrada,*
mcao,entrada,*
echan,carga,*
mfernandez,carga,*
sangelini,carga,*
cdenega,carga,*
jgarcia,carga,*
flerena,carga,*
aalberto,carga,*
projas,carga,*
fmariluis,carga,*
fmincucci,carga,*
nillia,carga,*
alvarez,carga,*
mcao,carga,*
echan,verificacion,*
mfernandez,verificacion,*
sangelini,verificacion,*
cdenega,verificacion,*
jgarcia,verificacion,*
flerena,verificacion,*
aalberto,verificacion,*
projas,verificacion,*
fmariluis,verificacion,*
fmincucci,verificacion,*
nillia,verificacion,*
alvarez,verificacion,*
mcao,verificacion,*
echan,transmision,*
mfernandez,transmision,*
sangelini,transmision,*
cdenega,transmision,*
jgarcia,transmision,*
flerena,transmision,*
aalberto,transmision,*
projas,transmision,*
fmariluis,transmision,*
fmincucci,transmision,*
nillia,transmision,*
alvarez,transmision,*
mcao,transmision,*
5491151098488,sms,*
